ime_poti,cas_poti,tezavnost_poti,vrh
 Razdrto - Suhi vrh (Nanos) (položna pot),240,lahka označena pot,Suhi vrh (Nanos)
Furlanovo zavetišče pri Abramu - Suhi vrh (Nanos) (strma pot),220,lahka označena pot,Suhi vrh (Nanos)
Lovska koča Vojkovo - Suhi vrh (Nanos) (položna pot),205,lahka označena pot,Suhi vrh (Nanos)
Furlanovo zavetišče pri Abramu - Suhi vrh (Nanos) (položna pot),235,lahka označena pot,Suhi vrh (Nanos)
Lovska koča Vojkovo - Suhi vrh (Nanos) (strma pot),190,lahka označena pot,Suhi vrh (Nanos)
Lozice - Suhi vrh (Nanos) (položna pot),265,lahka označena pot,Suhi vrh (Nanos)
Lozice - Suhi vrh (Nanos) (strma pot),250,lahka označena pot,Suhi vrh (Nanos)
Predmeja - Mali Modrasovec (po cesti),70,"lahka označena pot, lahka neoznačena steza",Mali Modrasovec
Lokavec - Mali Modrasovec,160,"lahka označena pot, lahka neoznačena steza",Mali Modrasovec
 Predmeja - Mali Modrasovec,85,lahka označena pot,Mali Modrasovec
Lokve - Poldanovec,90,lahka označena pot,Poldanovec
Dom na Lazni - Poldanovec,120,delno zahtevna označena pot,Poldanovec
Gorenja Trebuša - Poldanovec (Poldanovška grapa),180,zahtevna označena pot,Poldanovec
Gotenica - Goteniški Snežnik,165,lahka označena pot,Goteniški Snežnik
Kočevska Reka - Goteniški Snežnik,165,lahka označena pot,Goteniški Snežnik
Podkraj - Srednja gora (Hrušica) (vzhodna pot),90,lahka označena pot,Srednja gora (Hrušica)
Podkraj - Srednja gora (Hrušica) (zahodna pot),105,lahka označena pot,Srednja gora (Hrušica)
Rakov Škocjan - Veliki Javornik (Javorniki),120,lahka označena pot,Veliki Javornik (Javorniki)
Kalce - Veliki Javornik (Javorniki),90,lahka označena pot,Veliki Javornik (Javorniki)
Jeršiče - Veliki Javornik (Javorniki),140,lahka označena pot,Veliki Javornik (Javorniki)
Podkraj - Streliški vrh (Hrušica) (vzhodna pot),90,lahka označena pot,Streliški vrh (Hrušica)
Podkraj - Streliški vrh (Hrušica) (zahodna pot),80,lahka označena pot,Streliški vrh (Hrušica)
Preval Strgarija - Iztokova koča pod Golaki,5,lahka označena pot,Iztokova koča pod Golaki
Mala Lazna - Iztokova koča pod Golaki,45,lahka označena pot,Iztokova koča pod Golaki
Kozarnice - Iztokova koča pod Golaki,25,lahka označena pot,Iztokova koča pod Golaki
Rakitnica - Turn,180,lahka označena pot,Turn
Solarji - Kuk (Kolovrat),130,lahka neoznačena steza,Kuk (Kolovrat)
Livške Ravne - Kuk (Kolovrat),20,lahka neoznačena steza,Kuk (Kolovrat)
Livek - Kuk (Kolovrat),90,lahka neoznačena steza,Kuk (Kolovrat)
Mašun - Dom na Sviščakih,195,lahka označena pot,Dom na Sviščakih
Predmeja (tuneli) - Koča Antona Bavčerja na Čavnu,90,lahka označena pot,Koča Antona Bavčerja na Čavnu
Predmeja - Koča Antona Bavčerja na Čavnu (po cesti),60,lahka označena pot,Koča Antona Bavčerja na Čavnu
Lokavec - Koča Antona Bavčerja na Čavnu,150,lahka označena pot,Koča Antona Bavčerja na Čavnu
 Predmeja - Koča Antona Bavčerja na Čavnu,75,lahka označena pot,Koča Antona Bavčerja na Čavnu
Kamnje - Koča Antona Bavčerja na Čavnu,150,lahka označena pot,Koča Antona Bavčerja na Čavnu
Stomaž - Koča Antona Bavčerja na Čavnu,135,lahka označena pot,Koča Antona Bavčerja na Čavnu
Vrtovin - Koča Antona Bavčerja na Čavnu,165,lahka označena pot,Koča Antona Bavčerja na Čavnu
Lome - Javornik nad Črnim Vrhom,60,lahka označena pot,Javornik nad Črnim Vrhom
Črni vrh (Grom) - Javornik nad Črnim Vrhom,70,lahka označena pot,Javornik nad Črnim Vrhom
Črni vrh - Javornik nad Črnim Vrhom (čez Šajsno Ravan),150,lahka označena pot,Javornik nad Črnim Vrhom
Podkraj - Javornik nad Črnim Vrhom,150,lahka označena pot,Javornik nad Črnim Vrhom
Kampelc - Javornik nad Črnim Vrhom,135,lahka označena pot,Javornik nad Črnim Vrhom
Repna dolina - Javornik nad Črnim Vrhom,105,lahka označena pot,Javornik nad Črnim Vrhom
Col - Javornik nad Črnim Vrhom,180,lahka označena pot,Javornik nad Črnim Vrhom
Vodice (Mali Školj) - Javornik nad Črnim Vrhom,90,lahka označena pot,Javornik nad Črnim Vrhom
Razdrto - Vojkova koča na Nanosu (položna pot),140,lahka označena pot,Vojkova koča na Nanosu
Razdrto - Vojkova koča na Nanosu (strma pot),105,delno zahtevna označena pot,Vojkova koča na Nanosu
Lovska koča Vojkovo - Vojkova koča na Nanosu,105,lahka označena pot,Vojkova koča na Nanosu
Furlanovo zavetišče pri Abramu - Vojkova koča na Nanosu,120,lahka označena pot,Vojkova koča na Nanosu
Veliko Ubeljsko - Vojkova koča na Nanosu,105,lahka označena pot,Vojkova koča na Nanosu
Strane - Vojkova koča na Nanosu,135,lahka označena pot,Vojkova koča na Nanosu
Gradišče - Vojkova koča na Nanosu (Furlanova pot),270,zelo zahtevna označena pot,Vojkova koča na Nanosu
Razdrto - Vojkova koča na Nanosu (Janezova pot),120,lahka neoznačena steza,Vojkova koča na Nanosu
Gradišče - Vojkova koča na Nanosu (lažja pot),270,zahtevna označena pot,Vojkova koča na Nanosu
Podnanos - Vojkova koča na Nanosu (Pod zatrepom),225,lahka označena pot,Vojkova koča na Nanosu
Lozice - Vojkova koča na Nanosu,165,lahka označena pot,Vojkova koča na Nanosu
Podkraj - Vojkova koča na Nanosu,270,lahka označena pot,Vojkova koča na Nanosu
Gradišče - Vojkova koča na Nanosu (mimo sv. Miklavža),225,lahka označena pot,Vojkova koča na Nanosu
Hrašče - Vojkova koča na Nanosu (mimo korit),180,lahka označena pot,Vojkova koča na Nanosu
Hrašče - Vojkova koča na Nanosu (čez Brižnik),180,lahka označena pot,Vojkova koča na Nanosu
 Veliko Ubeljsko - Vojkova koča na Nanosu (mimo sv. Brica),180,"lahka neoznačena steza, lahka označena pot",Vojkova koča na Nanosu
Vitovlje (Križišče) - Veliki Rob,180,lahka označena pot,Veliki Rob
 Predmeja - Veliki Rob,180,lahka označena pot,Veliki Rob
Krnica - Veliki Rob,40,lahka označena pot,Veliki Rob
Vrtovin - Veliki Rob,170,lahka označena pot,Veliki Rob
Lokavec - Veliki Rob (čez Kucelj),255,lahka označena pot,Veliki Rob
Vitovlje - Veliki Rob (mimo Vitovskega jezera in čez Sekulak),190,lahka označena pot,Veliki Rob
Gojače - Veliki Rob,210,lahka označena pot,Veliki Rob
Malovše - Veliki Rob,215,lahka označena pot,Veliki Rob
Predmeja (tuneli) - Veliki Rob (Srednječavenska pot),180,delno zahtevna označena pot,Veliki Rob
Ozeljan - Veliki Rob (čez Sekulak),260,lahka neoznačena steza,Veliki Rob
Vrtovin - Kucelj na Čavnu,135,lahka označena pot,Kucelj na Čavnu
 Predmeja - Kucelj na Čavnu,120,lahka označena pot,Kucelj na Čavnu
Predmeja (tuneli) - Kucelj na Čavnu (Srednječavenska pot),120,delno zahtevna označena pot,Kucelj na Čavnu
Predmeja - Kucelj na Čavnu (po cesti),105,lahka označena pot,Kucelj na Čavnu
Krnica - Kucelj na Čavnu (čez Veliki Rob),100,lahka označena pot,Kucelj na Čavnu
Lokavec - Kucelj na Čavnu,195,lahka označena pot,Kucelj na Čavnu
Kamnje - Kucelj na Čavnu,165,lahka označena pot,Kucelj na Čavnu
Predmeja (tuneli) - Kucelj na Čavnu (mimo Koče na Čavnu),135,lahka označena pot,Kucelj na Čavnu
Gojače - Kucelj na Čavnu,175,lahka označena pot,Kucelj na Čavnu
Stomaž - Kucelj na Čavnu,180,lahka označena pot,Kucelj na Čavnu
Vrtovin - Kucelj na Čavnu (mimo Koče na Mali gori),180,lahka označena pot,Kucelj na Čavnu
Malovše - Kucelj na Čavnu,180,lahka označena pot,Kucelj na Čavnu
Rakitnica - Rezinski vrh,160,lahka označena pot,Rezinski vrh
Podkraj - Sveti Duh (Hrušica),75,lahka označena pot,Sveti Duh (Hrušica)
Col - Sveti Duh (Hrušica),135,lahka označena pot,Sveti Duh (Hrušica)
Kalce - Mali Javornik (Javorniki),60,lahka označena pot,Mali Javornik (Javorniki)
Jeršiče - Mali Javornik (Javorniki),110,lahka označena pot,Mali Javornik (Javorniki)
Matevljek - Petelinjek (mimo Votle stene),80,"delno zahtevna označena pot, lahka neoznačena steza",Petelinjek
Matevljek - Petelinjek,75,lahka neoznačena steza,Petelinjek
Lovska koča Vojkovo - Grmada (Nanos),95,lahka neoznačena steza,Grmada (Nanos)
Razdrto - Grmada (Nanos),125,lahka neoznačena steza,Grmada (Nanos)
Podnanos - Grmada (Nanos) (Pod zatrepom),215,lahka neoznačena steza,Grmada (Nanos)
Lozice - Grmada (Nanos),155,lahka neoznačena steza,Grmada (Nanos)
Gradišče - Grmada (Nanos) (mimo sv. Miklavža),215,lahka neoznačena steza,Grmada (Nanos)
Hrašče - Grmada (Nanos) (čez Brižnik),170,lahka neoznačena steza,Grmada (Nanos)
Hrašče - Grmada (Nanos) (mimo korit),170,lahka neoznačena steza,Grmada (Nanos)
Matevljek - Velika Jazbina,60,delno zahtevna označena pot,Velika Jazbina
Solarji - Nagnoj,100,lahka označena pot,Nagnoj
Livške Ravne - Nagnoj,15,lahka označena pot,Nagnoj
Ravne - Cerk,90,lahka označena pot,Cerk
Strma Reber - Cerk,105,lahka označena pot,Cerk
18. serpentina ceste na Strmo Reber - Cerk,160,lahka označena pot,Cerk
Osilnica - Cerk,245,lahka označena pot,Cerk
Bezgovica - Cerk,175,lahka označena pot,Cerk
Lokve - Stanov rob,35,lahka neoznačena steza,Stanov rob
Dom na Lazni - Stanov rob,70,lahka neoznačena steza,Stanov rob
Vitovlje (Križišče) - Čaven,150,lahka neoznačena steza,Čaven
Vitovlje - Čaven (mimo Vitovskega jezera),160,lahka neoznačena steza,Čaven
Ozeljan - Čaven,230,lahka neoznačena steza,Čaven
Lokve - Škol,40,lahka označena pot,Škol
Podkraj - Križna gora (Hrušica) (položna pot),80,lahka označena pot,Križna gora (Hrušica)
Podkraj - Križna gora (Hrušica) (strma pot),60,lahka označena pot,Križna gora (Hrušica)
Col - Križna gora (Hrušica),140,lahka označena pot,Križna gora (Hrušica)
Lome - Pirnatova koča na Javorniku,50,lahka označena pot,Pirnatova koča na Javorniku
Črni vrh - Grom - Pirnatova koča na Javorniku,60,lahka označena pot,Pirnatova koča na Javorniku
Podkraj - Pirnatova koča na Javorniku,140,lahka označena pot,Pirnatova koča na Javorniku
Repna dolina - Pirnatova koča na Javorniku,95,lahka označena pot,Pirnatova koča na Javorniku
Vodice (Mali Školj) - Pirnatova koča na Javorniku,80,lahka označena pot,Pirnatova koča na Javorniku
Col - Pirnatova koča na Javorniku,170,lahka označena pot,Pirnatova koča na Javorniku
Strane - Maj,80,delno zahtevna neoznačena pot,Maj
Mala Lazna - Velika ledena jama v Paradani,35,lahka označena pot,Velika ledena jama v Paradani
Vrhnika pri Ložu - Racna gora,105,lahka označena pot,Racna gora
Lovska koča Urška - Racna gora,45,lahka označena pot,Racna gora
Livške Ravne - Trinški vrh,60,lahka označena pot,Trinški vrh
Solarji - Trinški vrh,55,lahka označena pot,Trinški vrh
Zadlog - Špičasti vrh,75,lahka označena pot,Špičasti vrh
Cenc - Špičasti vrh (po cesti čez Novino),90,lahka neoznačena steza,Špičasti vrh
Cenc - Špičasti vrh (po markirani poti),90,lahka označena pot,Špičasti vrh
Rakitnica - Bela stena,130,lahka označena pot,Bela stena
Bosljiva Loka - Krokar (Kočevska planinska pot),195,"delno zahtevna označena pot, lahka neoznačena steza",Krokar
Livške Ravne - Na gradu,85,lahka označena pot,Na gradu
Solarji - Na gradu,30,lahka označena pot,Na gradu
Cerknica - Slivnica,100,lahka označena pot,Slivnica
Martinjak - Slivnica,75,lahka označena pot,Slivnica
Grahovo - Slivnica,75,lahka označena pot,Slivnica
Brezje - Slivnica,135,lahka označena pot,Slivnica
Radlek - Slivnica,80,lahka označena pot,Slivnica
Cerknica (Dom starejših občanov) - Slivnica (Zatrepi - Slivnica),90,lahka neoznačena steza,Slivnica
Dom v Iškem Vintgarju - Krim,135,lahka označena pot,Krim
Iška - Krim,130,lahka označena pot,Krim
Rakitna - Krim,120,lahka označena pot,Krim
Jezero - Krim (mimo Ledenice),150,lahka označena pot,Krim
Mesnice - Krim (po cesti),110,lahka označena pot,Krim
Zamlake - Krim,50,lahka označena pot,Krim
Dom v Iškem Vintgarju - Krim (strma pot),120,delno zahtevna označena pot,Krim
Strahomer - Krim (čez Strmec),130,lahka označena pot,Krim
Polharski dom Krim - Krim,95,lahka označena pot,Krim
Preserje - Krim,140,lahka označena pot,Krim
Jezero - Krim (mimo domačije Špelin),140,lahka označena pot,Krim
Strahomer - Krim (čez Kramarco),130,lahka označena pot,Krim
Tomišelj - Krim,135,lahka označena pot,Krim
Dolenja Brezovica - Krim,130,lahka označena pot,Krim
Vrbljene - Krim,135,lahka označena pot,Krim
Lovska koča Plehanov laz - Krim,135,lahka označena pot,Krim
Črni Vrh - Čelkov vrh,90,lahka označena pot,Čelkov vrh
Kampelc - Čelkov vrh,50,lahka označena pot,Čelkov vrh
Vlačno - Sveta Trojica,80,lahka označena pot,Sveta Trojica
Sevski gozd - Sveta Trojica,45,lahka označena pot,Sveta Trojica
Slovenska vas - Sveta Trojica,135,lahka označena pot,Sveta Trojica
Jeršiče - Sveta Trojica,160,lahka označena pot,Sveta Trojica
Kamenščina - Velika Milanja,40,lahka neoznačena steza,Velika Milanja
Jurišče - Kršičevec,90,lahka označena pot,Kršičevec
Bač - Kršičevec,135,lahka neoznačena steza,Kršičevec
Ravni - Kršičevec,150,lahka neoznačena steza,Kršičevec
Jeršiče - Baba (pri Javornikih),90,lahka neoznačena steza,Baba (pri Javornikih)
Mesnice - Baba (pri Javornikih),25,lahka neoznačena steza,Baba (pri Javornikih)
Zagrad - Razsušica,75,"lahka neoznačena steza, lahka označena pot",Razsušica
Gotenica - Kameni zid,90,lahka označena pot,Kameni zid
Zagrad - Medvižica (čez Ostrič),105,lahka označena pot,Medvižica
Zagrad - Medvižica (čez Razsušico),105,"lahka neoznačena steza, lahka označena pot",Medvižica
Cerknica - Dom na Slivnici,90,lahka označena pot,Dom na Slivnici
Radlek - Dom na Slivnici,80,lahka označena pot,Dom na Slivnici
Lokve - Črni vrh (pri Lokvah),25,lahka neoznačena steza,Črni vrh (pri Lokvah)
Široko - Veliki vrh (nad Lomom) (skozi Kanalski Lom - po poti Lom je moj dom),160,lahka označena pot,Veliki vrh (nad Lomom)
Široko - Veliki vrh (nad Lomom) (direktna pot),90,lahka označena pot,Veliki vrh (nad Lomom)
Široko - Veliki vrh (nad Lomom) (skozi Grudnico - po poti Lom je moj dom),110,lahka označena pot,Veliki vrh (nad Lomom)
Postaja (Most na Soči) - Veliki vrh (nad Lomom),195,lahka označena pot,Veliki vrh (nad Lomom)
Cvetrež - Lašček,60,lahka označena pot,Lašček
Srednji Lokovec - Lašček (skozi Raštelo),120,lahka označena pot,Lašček
Srednji Lokovec - Lašček (skozi Novo Mesto),105,lahka označena pot,Lašček
Cvetrež - Lašček (po cesti),80,lahka označena pot,Lašček
Solarji - Bivak Zanuso na Kolovratu,75,lahka označena pot,Bivak Zanuso na Kolovratu
Livške Ravne - Bivak Zanuso na Kolovratu,35,lahka označena pot,Bivak Zanuso na Kolovratu
Kamen - Mokrc,40,lahka označena pot,Mokrc
Zagrad - Ostrič,65,lahka označena pot,Ostrič
Predmeja (tuneli) - Mala gora (Srednječavenska pot),90,delno zahtevna označena pot,Mala gora
Kamnje - Mala gora,120,lahka označena pot,Mala gora
Stomaž - Mala gora,120,lahka označena pot,Mala gora
Vrtovin - Mala gora,135,lahka označena pot,Mala gora
Kamenščina - Bele ovce,30,lahka neoznačena steza,Bele ovce
Podgorje - Slavnik (položna pot),100,lahka označena pot,Slavnik
Podgorje - Slavnik (strma pot),75,lahka označena pot,Slavnik
Skadanščina - Slavnik,90,lahka označena pot,Slavnik
Hrpelje - Slavnik,210,lahka označena pot,Slavnik
Prešnica - Slavnik,120,lahka označena pot,Slavnik
Skadanščina - Slavnik (mimo planine Jegno),150,lahka neoznačena steza,Slavnik
Lovski dom pod Glavico - Slavnik (po cesti),150,"lahka neoznačena steza, lahka označena pot",Slavnik
Senožeče - Vremščica,105,lahka označena pot,Vremščica
Volče - Vremščica,90,lahka označena pot,Vremščica
Loščica - Vremščica,75,lahka označena pot,Vremščica
Gabrče - Vremščica,120,lahka označena pot,Vremščica
Gornje Ležeče - Vremščica,100,lahka označena pot,Vremščica
Matavun - Vremščica,195,lahka označena pot,Vremščica
Podgora - Vremščica,120,lahka označena pot,Vremščica
Famlje - Vremščica,150,lahka označena pot,Vremščica
Lovska koča Vojkovo - Sveti Hieronim,75,lahka označena pot,Sveti Hieronim
Razdrto - Sveti Hieronim,110,lahka označena pot,Sveti Hieronim
Lozice - Sveti Hieronim,135,lahka označena pot,Sveti Hieronim
Hrašče - Sveti Hieronim (mimo korit),150,lahka označena pot,Sveti Hieronim
Hrašče - Sveti Hieronim (čez Brižnik),150,lahka označena pot,Sveti Hieronim
Gradišče - Sveti Hieronim (mimo sv. Miklavža),195,lahka označena pot,Sveti Hieronim
Podnanos - Sveti Hieronim (Pod zatrepom),195,lahka označena pot,Sveti Hieronim
Studeno - Gora (Sveti Lovrenc),65,lahka označena pot,Gora (Sveti Lovrenc)
Gorenje - Gora (Sveti Lovrenc),75,lahka označena pot,Gora (Sveti Lovrenc)
Gorenje - Gora (Sveti Lovrenc) (položna pot),105,lahka neoznačena steza,Gora (Sveti Lovrenc)
Sedlo nad Lohačo - Špilnik (Zgornja pot - čez Lipovec),40,lahka označena pot,Špilnik
Sedlo nad Lohačo - Špilnik (Spodnja pot),30,lahka označena pot,Špilnik
Travna Gora - Koča na Kamnem griču,45,lahka označena pot,Koča na Kamnem griču
Nova Štifta - Koča na Kamnem griču,95,lahka označena pot,Koča na Kamnem griču
Hrib-Loški Potok - Koča na Kamnem griču,75,lahka označena pot,Koča na Kamnem griču
Mali Log - Koča na Kamnem griču,50,lahka označena pot,Koča na Kamnem griču
Uglov laz - Koča na Kamnem griču (mimo Doma na Travni Gori),120,lahka označena pot,Koča na Kamnem griču
Lom - Koča na Kamnem griču,45,lahka označena pot,Koča na Kamnem griču
Retjiški gozd - Koča na Kamnem griču,25,lahka označena pot,Koča na Kamnem griču
Strma Reber - Firstov rep,65,lahka označena pot,Firstov rep
Ravne - Firstov rep,85,lahka označena pot,Firstov rep
Osilnica - Firstov rep,205,lahka označena pot,Firstov rep
18. serpentina ceste na Strmo Reber - Firstov rep,120,lahka označena pot,Firstov rep
Bezgovica - Firstov rep,135,lahka označena pot,Firstov rep
Izvir Hublja - Sinji vrh (mimo Otliškega okna),135,lahka označena pot,Sinji vrh
Otlica - Sinji vrh,80,lahka označena pot,Sinji vrh
Stara baba - Sinji vrh,105,lahka neoznačena steza,Sinji vrh
Predmeja - Sinji vrh (Pot po Robu),175,lahka označena pot,Sinji vrh
Col - Sinji vrh (čez Črne stene),205,lahka označena pot,Sinji vrh
Col - Sinji vrh (zahodna pot),190,lahka označena pot,Sinji vrh
Lovska koča Budanje - Sinji vrh (vzhodna pot mimo škrapelj),190,lahka označena pot,Sinji vrh
Col - Sinji vrh (vzhodna pot mimo škrapelj),200,lahka označena pot,Sinji vrh
Lovska koča Budanje - Sinji vrh (zahodna pot),180,lahka označena pot,Sinji vrh
Jamce - Sinji vrh (vzhodna pot mimo škrapelj),175,lahka označena pot,Sinji vrh
Jamce - Sinji vrh (zahodna pot),165,lahka neoznačena steza,Sinji vrh
Rakitna - Županov vrh (vzhodna pot),35,lahka neoznačena steza,Županov vrh
Brancljeva senožet - Županov vrh,50,lahka neoznačena steza,Županov vrh
Rakitna - Županov vrh (zahodna pot),35,lahka neoznačena steza,Županov vrh
Mesnice - Županov vrh,60,lahka neoznačena steza,Županov vrh
Rakitna - Županov vrh (čez Reber),50,lahka neoznačena steza,Županov vrh
Mesnice - Županov vrh (čez Reber),45,lahka neoznačena steza,Županov vrh
Zabočevo - Novaška gora,120,lahka neoznačena steza,Novaška gora
Lovski dom pod Glavico - Grmada pri Slavniku,140,lahka neoznačena steza,Grmada pri Slavniku
Prešnica - Grmada pri Slavniku,110,"lahka označena pot, lahka neoznačena steza",Grmada pri Slavniku
Jablanica - Koča na Kozleku,105,lahka označena pot,Koča na Kozleku
Vrbiški dol - Koča na Kozleku,60,lahka označena pot,Koča na Kozleku
Trpčane - Koča na Kozleku,105,lahka označena pot,Koča na Kozleku
Col - Špiček (Špečk),55,lahka neoznačena steza,Špiček (Špečk)
Col - Špiček (Špečk) (čez Križno goro),70,lahka neoznačena steza,Špiček (Špečk)
Cenc - Špiček (Špečk),45,lahka označena pot,Špiček (Špečk)
Vitovlje (Križišče) - Lovsko zavetišče pod Čavnom,110,lahka neoznačena steza,Lovsko zavetišče pod Čavnom
Kamenščina - Volovja reber,60,lahka neoznačena steza,Volovja reber
Strane - Sveti Bric (Nanos),45,lahka označena pot,Sveti Bric (Nanos)
 Veliko Ubeljsko - Sveti Bric (Nanos),90,lahka neoznačena steza,Sveti Bric (Nanos)
Rakitna - Rotovc,30,lahka označena pot,Rotovc
Brancljeva senožet - Rotovc,45,lahka označena pot,Rotovc
Mesnice - Rotovc,55,lahka označena pot,Rotovc
Mesnice - Rotovc (čez Županov vrh),75,lahka neoznačena steza,Rotovc
Brancljeva senožet - Mišnice,20,lahka neoznačena steza,Mišnice
Zamlake - Mišnice,20,lahka neoznačena steza,Mišnice
Lovska koča Budanje - Kovk,90,lahka označena pot,Kovk
Col - Kovk,60,lahka označena pot,Kovk
Jamce - Kovk,130,lahka neoznačena steza,Kovk
Col - Križna gora nad Colom,55,lahka neoznačena steza,Križna gora nad Colom
Col - Križna gora nad Colom (čez Špiček),70,lahka neoznačena steza,Križna gora nad Colom
Selšček - Velika Špička,45,lahka označena pot,Velika Špička
Begunje - Velika Špička (čez Cemarovnik),60,lahka označena pot,Velika Špička
Begunje - Velika Špička,60,lahka označena pot,Velika Špička
Stražišče - Velika Špička,30,lahka neoznačena steza,Velika Špička
Velika vrata - Mala Plešivica,35,lahka označena pot,Mala Plešivica
Zagrad - Mala Plešivica,75,"lahka neoznačena steza, lahka označena pot",Mala Plešivica
Planinski dom pod Ježo - Ježa,30,lahka označena pot,Ježa
Solarji - Ježa,45,lahka označena pot,Ježa
Kamenščina - Milanka,75,lahka neoznačena steza,Milanka
Stražišče - Leskovica (nad Stražiščem),20,lahka neoznačena steza,Leskovica (nad Stražiščem)
Kožljek - Leskovica (nad Stražiščem),30,lahka neoznačena steza,Leskovica (nad Stražiščem)
Borovec pri Kočevski Reki - Krempa,50,lahka označena pot,Krempa
Zabočevo - Krimšček,100,lahko brezpotje,Krimšček
Lohača - Petričev hrib,40,lahka neoznačena steza,Petričev hrib
Planina - Petričev hrib,90,lahka neoznačena steza,Petričev hrib
Planina (Dolnja Planina) - Petričev hrib (preko Zavrtnikov),95,lahka neoznačena steza,Petričev hrib
Planina (Dolnja Planina) - Petričev hrib (mimo Sv. Duha),95,lahka neoznačena steza,Petričev hrib
Solarji - Deveti konfin (čez Ježo),70,lahka označena pot,Deveti konfin
Planinski dom pod Ježo - Deveti konfin,45,lahka označena pot,Deveti konfin
Vitovlje (Križišče) - Kopitnik (preko Sekulaka),150,lahka označena pot,Kopitnik
Vitovlje (Križišče) - Kopitnik (mimo lovske koče LD Lijak),85,lahka označena pot,Kopitnik
Šmihel - Kopitnik (mimo Skoznega),180,lahka neoznačena steza,Kopitnik
Ozeljan - Kopitnik (mimo Vitovskega hriba in lovske koče),165,"lahka neoznačena steza, lahka označena pot",Kopitnik
Jablanica - Srednji vrh pri Kozleku,85,lahka označena pot,Srednji vrh pri Kozleku
Vrbiški dol - Srednji vrh pri Kozleku,40,lahka označena pot,Srednji vrh pri Kozleku
Predmeja - Dolski maj (Pot po Robu),60,lahka označena pot,Dolski maj
Otlica - Dolski maj,60,lahka označena pot,Dolski maj
Zagrad - Velika Plešivica (čez Malo Plešivico),120,"lahka neoznačena steza, lahka označena pot",Velika Plešivica
Velika vrata - Velika Plešivica,25,lahka označena pot,Velika Plešivica
Kočevska dolina - Lovska koča Urška,45,lahka označena pot,Lovska koča Urška
Planinski dom pod Ježo - Očna,55,lahka označena pot,Očna
Solarji - Očna (čez Ježo),80,lahka označena pot,Očna
Nova Štifta - Dom na Travni Gori,45,lahka označena pot,Dom na Travni Gori
Uglov laz - Dom na Travni Gori,70,lahka označena pot,Dom na Travni Gori
Gradišče - Furlanovo zavetišče pri Abramu (lažja varianta),150,zahtevna označena pot,Furlanovo zavetišče pri Abramu
Gradišče - Furlanovo zavetišče pri Abramu (čez Konja),195,lahka označena pot,Furlanovo zavetišče pri Abramu
Gradišče - Furlanovo zavetišče pri Abramu (Furlanova pot),150,zelo zahtevna označena pot,Furlanovo zavetišče pri Abramu
Lozice - Furlanovo zavetišče pri Abramu,150,lahka označena pot,Furlanovo zavetišče pri Abramu
