ime,drzava,drzava_2,drzava_3,gorovje,visina,vrsta,stevilo_ogledov,priljubljenost,stevilo_poti,opis,blok_poti
Čaven,Slovenija,,,"Goriško, Notranjsko in Snežniško hribovje",1185,vrh,578417,95,3,"Čaven je z gozdom poraščen vrh, ki se nahaja zahodno od Velikegaa Roba (1237m). Na vrh, ki ima zelo poznano ime, pa ne vodi nobena markirana pot, pa čeprav le ta vodi le nekaj metrov stran.",
Škol,Slovenija,,,"Goriško, Notranjsko in Snežniško hribovje",1182,vrh,348199,73,1,"Škol je 1182 m visok vrh, ki se strmo dviga nad Čepovanskim dolom, točneje nad vasjo Lokve na obrobju planote Trnovskega gozda. Z vrha, ki ima vpisno skrinjico in v njej vpisno knjigo ter žig, se nam kljub gozdu odpre nekaj razgleda na Julijske Alpe in okoliško hribovje.",
Križna gora (Hrušica),Slovenija,,,"Goriško, Notranjsko in Snežniško hribovje",1162,vrh,304015,68,3,"Križna gora je 1162 m visok vrh, ki se nahaja severno od vasi Podkraj. Z vrha na katerem stoji razgledni stolp je lep razgled po večjem delu Slovenije. Ob lepem vremenu lahko tako vidimo del Tržaškega zaliva, Julijce, Karavanke, Kamniško in Savinjske Alpe ter Snežnik. <br>Vrh ima vpisno skrinjico in žig.",
Pirnatova koča na Javorniku,Slovenija,,,"Goriško, Notranjsko in Snežniško hribovje",1156,koča,500419,90,6,"Pirnatova koča na Javorniku se nahaja na vzhodnih pobočjih omenjenega vrha. V bližini koče je velik travnik s katerega je lep razgled proti vzhodu in jugu, kjer opazimo notranjsko hribovje, proti zahodu vidimo pobočje Javornika, proti severu pa nad gozdom opazimo Kamniško Savinjske Alpe.",
Maj,Slovenija,,,"Goriško, Notranjsko in Snežniško hribovje",1142,vrh,4212,30,1,"Maj je skrajno vzhodni neizrazit vrh v pogorju nanoške planote, ki se razteza od vasi Razdrto do vasi Strane, nad tako imenovano Votlo steno.",
Velika ledena jama v Paradani,Slovenija,,,"Goriško, Notranjsko in Snežniško hribovje",1140,,270680,64,1,"Velika ledena jama v Paradani, ki je znana po tem, da so iz nje izrezovali do 40kg težke kose ledu, ki so jih izvažali v Trst, Gorico in celo v Egipt, se nahaja severozahodno od Golakov na planoti Trnovskega gozda. Jama je globoka 385m ter dolga več kot 1500m.<br>Brez jamarske opreme si lahko ogledamo lahko vzhodni del jame.",
Racna gora,Slovenija,,,"Goriško, Notranjsko in Snežniško hribovje",1140,vrh,357185,74,2,"Racna gora je malo obiskan vrh, ki se dviga vzhodno od Loške doline. Z vrha, ki ima vpisno skrinjico in žig zaradi gozda ni razgleda.",
Trinški vrh,Italija,,Slovenija,"Goriško, Notranjsko in Snežniško hribovje",1138,vrh,178879,52,2,"Trinški vrh (ponekod je zapisano tudi ime Trniški vrh) je 1138 m visoka gora, ki se nahaja na neporaščenem delu Kolovrata, točneje med vrhovoma Na gradu in Nagnoj. Z vrha, na katerem stoji tabla, ki označuje vrh, se nam odpre lep razgled na Kolovrat, Matajur, Krnsko pogorje in Beneško Slovenijo.",
Špičasti vrh,Slovenija,,,"Goriško, Notranjsko in Snežniško hribovje",1128,vrh,400890,80,3,"Špičasti vrh je z gozdom poraščena gora, ki se nahaja južno od vasi Zadlog. Da pa vrh, ne bi bil brez razgleda so na vrhu postavili 13m visok lesen razgledni stolp, ki nam omogoča pogled po večjem delu Slovenije. Ob lepem vremenu lahko tako vidimo Tržaški zaliv, Julijske Alpe in večji del osrednje Slovenije. <br>Vpisna knjiga in žig se nahajata na razglednem stolpu.",
Bela stena,Slovenija,,,"Goriško, Notranjsko in Snežniško hribovje",1122,vrh,240878,60,1,"Bela stena (tudi samo Stene) je razgledna točka, ki se nahaja zahodno od Dolenje vasi v ribniški dolini, točneje nad vasjo Zadolje. Z vrha Bele stene, le ta se prepadno spušča, se nam odpre lep razgled na Malo goro, ribniško dolino, ob lepem vremenu pa razgled seže vse do Kamniško Savinjskih Alp. V bližini razgledne točke a se nahaja tudi vpisna skrinjica z vpisno knjigo in žigom.",
Krokar,Slovenija,,,"Goriško, Notranjsko in Snežniško hribovje",1122,vrh,296310,67,1,"Krokar je 1122 m visok vrh, ki se nahaja v osrčju istoimenskega pragozda. Z vrha, ki se prepadno spušča proti dolini reke Kolpe, se nam odpre lep razgled na hribovje, ki obdaja zgornji tok reke Kolpe.",
Na gradu,Italija,,Slovenija,"Goriško, Notranjsko in Snežniško hribovje",1115,vrh,212102,57,2,"Na gradu je 1115 m visok vrh, ki se nahaja sredi pogorja Kolovrata, točneje na meji med Slovenijo in Italijo. S travnatega vrha, na katerem je vpisna skrinjica z vpisno knjigo in žigom, se nam odpre lep razgled na Matajur, Krnsko pogorje, greben Kolovrata, Idrijsko in Cerkljansko hribovje ter Trnovski gozd.<br>Nekoliko pod vrhom, pa se nahaja muzej na prostem, kjer lahko vidimo številne kaverne, bunkerje in podobno.",
Slivnica,Slovenija,,,"Goriško, Notranjsko in Snežniško hribovje",1114,vrh,674027,98,6,"Slivnica je 1114 m visok vrh, ki se nahaja severno od Cerkniškega polja. Z vrha, na katerem se nahaja vpisna skrinjica je razgled zaradi bližnjega gozda in oddajnikov precej omejen.",
Krim,Slovenija,,,"Goriško, Notranjsko in Snežniško hribovje",1107,"vrh, koča",795806,99,16,"Krim je 1107 m visoka gora, ki se dviguje južno od Ljubljanskega barja. Z vrha na katerem stoji planinski dom, ter večje število oddajnikov je lep razgled na del Julijskih Alp, Karavanke, Kamniško Savinjske Alpe in Ljubljansko barje.",
Čelkov vrh,Slovenija,,,"Goriško, Notranjsko in Snežniško hribovje",1106,vrh,315595,70,2,"Čelkov vrh je 1106m visok vrh, ki se nahaja južno od Črnega vrha. Z vrha, ki ima vpisno skrinjico in žig je lep razgled proti Julijcem, Karavankam, Kamniško Savinjskim Alpam ter bližnjemu hribovju.",
Sveta Trojica,Slovenija,,,"Goriško, Notranjsko in Snežniško hribovje",1106,vrh,533719,92,4,"Sveta Trojica je razgleden vrh, ki se nahaja jugozahodno od Javornikov. Z vrha na katerem so zgledno ohranjene ruševine nekdanje cerkve je lep razgled po notranjskem hribovju, kjer izstopajo valoviti vrhovi Javornika. Ob lepem vremenu se lepo vidijo Dolomiti, ki jih opazimo med Vremščico in Nanosom, nekoliko bolj desno pa vidimo Julijske Alpe, kjer je najvišji Triglav, proti severu pa opazimo Karavanke. <br> Sveta Trojica pa je znana še po Martinu Krpanu, ki je bil doma s teh krajev.",
Velika Milanja,Slovenija,,,"Goriško, Notranjsko in Snežniško hribovje",1099,vrh,221961,58,1,"Velika Milanja je 1099m visok vrh, ki se nahaja vzhodno od Volovje rebri. Z deloma neporaščenega vrha, se nam odpre lep razgled na večji del jugozahodne Slovenije, Dolomite in del Julijskih Alp s predgorjem.<br>Le malo pod vrhom, na nekakšnem predvrhu, pa lahko opazimo manjše naravno okno.",
Kršičevec,Slovenija,,,"Goriško, Notranjsko in Snežniško hribovje",1091,vrh,374548,76,3,"Kršičevec je manj poznana gora, ki se nahaja vzhodno od vasi Jurišče v Pivški kotlini. S travnatega vrha na katerem se nahaja vpisna skrinjica z žigom in le nekoliko nižje še razgledna plošča, se nam odpre lep razgled po večjem delu Slovenije. Ob lepem vremenu lahko tako vidimo Vremščico, italijanske Dolomite, Nanos, Julijske Alpe s Krnom in Triglavom, del Kamniško Savinjskih Alp, Sveto Trojico, Javornike, Snežnik, Učko in Slavnik.",
Baba (pri Javornikih),Slovenija,,,"Goriško, Notranjsko in Snežniško hribovje",1085,vrh,7340,33,2,"Baba je 1085 metrov visok vrh, ki se nahaja med grebenom Javornikov in Sveto Trojico. S travnatega vrha, se nam odpre lep pogled na greben Javornikov, Snežnik, Sveto Trojico, Nanos, Pivško in Postojnsko kotlino, ob lepi vidljivosti pa razgled seže vse do Alp.",
Razsušica,Hrvaška,,Slovenija,"Goriško, Notranjsko in Snežniško hribovje",1083,vrh,208112,56,1,"Razsušica je s 1083m najvišji vrh slovenske Istre. Ker je vrh deloma poraščen pa se nam z njega odpre lep pogled le proti bližnji Medvižiči, ki je od Razsušice nižja le za 2 metra.",
Kameni zid,Slovenija,,,"Goriško, Notranjsko in Snežniško hribovje",1081,vrh,181759,53,1,"Kameni zid so strme skalnate pečine, ki se strmo spuščajo z Goteniške gore. Z vrha Kamenega zidu, se nam odpre lep pogled proti Stojni, Kočevski Reki in Goteniškemu Snežniku, slednji je s 1289m tudi najvišji vrh Goteniške gore.",
Medvižica,Slovenija,,,"Goriško, Notranjsko in Snežniško hribovje",1081,vrh,217812,57,2,"Medvižica je skalnat vrh, ki se nahaja na slovenski strani Čičarije. Z neporaščenega vrha je lep razgled po okoliškem hribovju, kjer najlepše vidimo bližnjo Razsušico.",
Dom na Slivnici,Slovenija,,,"Goriško, Notranjsko in Snežniško hribovje",1078,koča,480292,88,2,"Dom na Slivnici se nahaja le nekaj 10 m pod vrhom 1114 m visoke Slivnice. Od koče se nam odpre lep razgled na greben Javornikov, Cerkniško polje in Cerkniško jezero.",
Črni vrh (pri Lokvah),Slovenija,,,"Goriško, Notranjsko in Snežniško hribovje",1072,vrh,6906,33,1,"Črni vrh je razgleden vrh nad Čepovanskim dolom, ki se nahaja severozahodno od Lokvi na planoti Trnovskega gozda. Z vrha, na katerem se nahajajo oddajniki, se nam odpre lep pogled proti Čepovanu, ter delu Banjške in Trnovske planote, ob lepi vidljivosti pa razgled seže do Krna, Kanina in drugih vrhov v Julijskih Alpah.",
Veliki vrh (nad Lomom),Slovenija,,,"Goriško, Notranjsko in Snežniško hribovje",1071,vrh,2230,25,4,"Veliki vrh leži na SV delu Banjške planote, ki se dviga nad Čepovanskim dolom, dolino reke Soče in dolino reke Idrijce. S 1071 m je skupaj z Laščkom najvišji vrh te planote. Na eni strani meji na Kanalski Lom, na drugi na Lokovec in Grudnico. Dostop je možen iz več strani, mimo vodi zelo razgledna krožna pohodniška pot Lom je moj dom. Z vrha, na katerem je miniaturen Aljažev stolp z vpisno knjigo in žigom, se odpre lep razgled proti Krnskemu pogorju, grebenu Bohinjsko-Tolminskih gora, Cerkljanskemu hribovju in Šentviški planoti.",
Lašček,Slovenija,,,"Goriško, Notranjsko in Snežniško hribovje",1071,vrh,336985,72,4,"Lašček je s 1071 m najvišji vrh Banjške planote, planote, ki se dviga nad Čepovanskim dolom, dolino reke Soče in dolino reke Idrijce. Z vrha, na katerem je razgledna plošča ter pod njo vpisna skrinjica z vpisno knjigo in žigom, se nam odpre lep razgled proti Trnovskemu gozdu, Matajurju, Krnskem pogorju, Poreznu, Triglavu, ob lepem vremenu pa razgled seže vse do italijanskih Dolomitov",
Bivak Zanuso na Kolovratu,Italija,,,"Goriško, Notranjsko in Snežniško hribovje",1065,"bivak, sedlo",171143,51,2,"Bivak Zanuso se nahaja na italijanski strani Kolovrata v neposredni bližini meje s Slovenijo. Od bivaka, ki je sicer brez ležišč, a je dobro opremljen, ima namreč tudi štedilnik, nekaj omar, mizo in klopi, se nam odpre lep pogled na Beneško Slovenijo in okoliško hribovje.",
Mokrc,Slovenija,,,"Goriško, Notranjsko in Snežniško hribovje",1059,vrh,313062,69,1,"Mokrc na zemljevidih Mokrec je 1059 m visoka gora, ki se nahaja vzhodno od Iškega Vintgarja. Vrh je poraščen z gozdom in zato z njega ni razgleda. <br>Za nekaj razgleda, se je vredno povzpeti na nekaj minut oddaljeno staro vojaško obrambno ploščad, s katere se nam med krošnjami dreves odpre pogled na Krim in na nekaj okoliških vrhov.",
Ostrič,Slovenija,,,"Goriško, Notranjsko in Snežniško hribovje",1056,vrh,344031,73,1,"Ostrič (na nekaterih zemljevidih označen tudi kot Žabnik) je 1056m visok vrh, ki se nahaja no slovenski strani Čičarije. Z neporaščenega vrha na katerem se nahaja okrogla vpisna skrinjica je lep razgled proti Istri, kjer z višino 1401m izstopa Učka.",
Mala gora,Slovenija,,,"Goriško, Notranjsko in Snežniško hribovje",1034,"vrh, koča",470967,87,4,"Mala gora je planota na pobočju Čavna. Na višini 1034 metrov je postavljena koča. Mala gora je znana po cvetju, ki je značilno samo za to območje. S planote se vidi Vipavska dolina, goriška ter ob lepem vremenu Jadransko morje.",
Bele ovce,Slovenija,,,"Goriško, Notranjsko in Snežniško hribovje",1029,vrh,248121,61,1,"Bele ovce so neporaščen vrh, ki se nahaja vzhodno od Volovje rebri. Z vrha se nam tako ob lepem vremenu odpre čudovit pogled na okoliško hribovje, kraška polja ter v daljavi Dolomite in Julijske Alpe.",
Slavnik,Slovenija,,,"Goriško, Notranjsko in Snežniško hribovje",1028,"vrh, koča",835205,99,7,"Slavnik je razgledna gora, ki se dviga južno od Kozine in zahodno od Podgorja. Podgorje je vasica, ki je primerno izhodišče za vzpon na omenjeno goro. <br> Na vrhu Slavnika se nahaja razgledna plošča        in ob njen žig. Le nekaj korakov pod vrhom pa se nahaja Tumova koča na Slavniku, ki so jo odprli leta 1957.<br> Razgled s Slavnika pa je med lepšimi saj ob lepem vremenu vidimo Jadransko morje, italijanske Dolomite, kjer je najvišja Marmolada, del Karnijskih in Julijskih Alp, kjer izstopa Triglav in nato prek Karavank do Kamniško in Savinjskih Alp. V bližini pa se vidijo Golaki, Vremščica in malo bolj oddaljeni Snežnik.                                                                                                                                                                       ",
Vremščica,Slovenija,,,"Goriško, Notranjsko in Snežniško hribovje",1027,vrh,696672,98,8,"Vremščica je pogorje, ki se razteza med Senožečami, Pivko in Divačo. Najvišji vrh pogorja je Velika Vremščica. Razgled z vrha sega od Dolomitov, Julijskih Alp, prek Nanosa do Kamniško Savinjskih Alp ter prek Javornikov, Snežnika in Slavnika do Jadranskega morja.",
Sveti Hieronim,Slovenija,,,"Goriško, Notranjsko in Snežniško hribovje",1020,cerkev,337844,72,7,"Cerkev sv. Hieronima se nahaja na južnem delu planote Nanos, tik nad strmimi pobočji Rebrnic. Od cerkve, ki je bila zgrajena leta 1360, se nam odpre lep razgled na vrhove, ki obdajajo Vipavsko dolino.",
